concept,source language text,target language text,variations,label
their,"Behind each of the million children in institutions, there is usually a story of parents who are desperate and feel they've run out of options, like Natalia in Moldova, who only had enough money to feed her baby, and so had to send her older son to the institution; or Desi, in Bulgaria, who looked after her four children at home until her husband died, but then she had to go out to work full time, and with no support, felt she had no option but to place a child with disabilities in an institution; or the countless young girls too terrified to tell their parents they're pregnant, who leave their babies in a hospital; or the new parents, the young couple who have just found out that their firstborn child has a disability, and instead of being provided with positive messages about their child's potential, are told by the doctors, ""Forget her, leave her in the institution, go home and make a healthy one.""","Մանկատներում ապրող միլիոնավոր երեխաներից յուրաքանչյուրի հետևում իր ծնողի պատմությունն է, որոնք հուսահատ են և չեն կարողանում ելք գտնել տվյալ իրավիճակից: Օրինակ՝ Մոլդովայից Նատալիայի աշխատած գումարը բավարար էր միայն երեխային կերակրելու համար, այդ իսկ պատճառով, նա իր ավագ որդուն ուղարկեց մանկատուն: Կամ Դեսին Բուլղարիայից, ով խնամում էր իր չորս երեխաներին տանը, ամուսնու մահվանից հետո պետք է ամբողջ օրը աշխատեր, և չունենալով ոչ մի աջակցություն, նրա միակ ընտրանքն էր թողնել իր հատուկ կարիքավոր երեխային մանկատանը, կամ էլ այն բազմաթիվ երիտասարդ աղջիները, որոնք վախենում են ասել իրենց ծնողներին, որ հղի են և թողնում են երեխաներին հիվանդանոցներում, կամ երիտասարդ այն զույգը, որի առաջնեկը հաշմանդամ է ծնվել, և փոխարենը իրենց երեխայի ներուժի մասին դրական ինֆորմացիա տրամադրելուն բժիշկները խորհուրդ են տալիս. «Մոռացեք, թողեք նրան մանկատանը, գնացեք տուն և առողջ երեխա ունեցեք»:","['դրանց/իրենց', 'նրանք/նրանց']",դրանց/իրենց
their,"And whether they become coders or the next Hillary Clinton or Beyoncé, they will not defer their dreams.","Եվ անկախ նրանից կդառնան նրանք ծրագրավորող թե հաջորդ Հիլարի Քլինթոնը կամ Բեյոնսեն, նրանք չեն հետաձգի իրենց երազանքներին հասնելը։","['դրանց/իրենց', 'նրանք/նրանց']",դրանց/իրենց
their,"In the personal/social circle, the children in the orchestras and choirs develop their intellectual and emotional side.",Անձնական/հասարակական շրջանակում երեխաները նվագախմբերում և երգչախմբերում զարգացնում են իրենց մտավոր և զգայական կողմերը:,"['դրանց/իրենց', 'նրանք/նրանց']",դրանց/իրենց
their,"No longer putting society at the service of art, and much less at the services of monopolies of the elite, but instead art at the service of society, at the service of the weakest, at the service of the children, at the service of the sick, at the service of the vulnerable, and at the service of all those who cry for vindication through the spirit of their human condition and the raising up of their dignity.","Այլևս հասարակությունը չպետք է ծառայի արվեստին, և առավել ևս հարուստ խավերի մենաշնորհություններին, բայց փոխարենը արվեստը պիտի ծառայի հասարակությանը, թույլին, երեխաներին, հիվանդներին, խոցելիներին, այն բոլոր մարդկանց, ովքեր պաշտպանվածություն են ձգտում իրենց մարդկային հոգու և արժանապատվության բարձրացման միջոցով:","['դրանց/իրենց', 'նրանք/նրանց']",դրանց/իրենց
their,"So, to get to that 80 percent, the developed countries, including countries like China, will have had to switch their electricity generation altogether.","Այսպիսով, 80 տոկոսին հասնելու համար զարգացած երկրները, ներառյալ Չինաստանը և այլ նման երկրներ, ստիպված կլինեն փոխել իրենց ողջ էլեկտրաէներգիայի արտադրության ոլորտը:","['դրանց/իրենց', 'նրանք/նրանց']",դրանց/իրենց
their,"(Laughter) They have kids of their own, and they've achieved a genetic miracle by marrying beautiful people, so their grandmoms look like Gertrude Stein, their daughters looks like Halle Berry -- I don't know how they've done that.","(Ծիծաղ) Նրանք սեփական երեխաներ ունեն, բայց նրանք գենետիկ հրաշքի են հասել, ամուսնանալով գեղեցիկ մարդկանց հետ, այնպես որ նրանք տատիկները նման են Գերտրուդ Ստեյնին, իսկ աղջիկները՝ Հոլլի Բերիին, չգիտեմ թե ինչպես։","['դրանց/իրենց', 'նրանք/նրանց']",նրանք/նրանց
their,"We watch all those personalities being ordinary people like you and me, not demigods, and we see that history consists of their mistakes, fears, weaknesses, not only their ""genius ideas.""","Մենք նայում ենք նրանց` որպես ինձ և ձեզ նման հասարակ մարդկանց, ոչ կիսաստվածների, և տեսնում ենք`պատմությունը կազմված է նրանց սխալներից,վախերից և թուլությոններից, ոչ թե միայն «հանճարեղ մտքերից»:","['դրանց/իրենց', 'նրանք/նրանց']",նրանք/նրանց
their,They have no control over their bodies or their lives.,Նրանք իրենց կյանքի կամ մարմնի տերերը չեն:,"['դրանց/իրենց', 'նրանք/նրանց']",նրանք/նրանց
their,"At a very close distance, the fiddler looks taller than the fireman, but at a far distance their normal, their true, relations are preserved.","Շատ մոտ հեռավորության վրա, ջութակահարը հրշեջից ավելի բարձրահասակ է թվում, բայց երբ նրանք հեռու են նորմալ, իրական համաչափությունը պահպանվում է։","['դրանց/իրենց', 'նրանք/նրանց']",նրանք/նրանց
their,"They have autonomy over their time, their task, their team, their technique.","Նրանք իրենք են տնօրինում իրենց ժամանակը իրենց հանձնարարությունները, թիմը, տեխնիկան:","['դրանց/իրենց', 'նրանք/նրանց']",նրանք/նրանց
their,"Imagine their congratulations, and their high image of you.",Պատկերացրեք նրանց շնորհավորանքները և ձեր մասին ունեցած բարձր կարծիքը:,"['դրանց/իրենց', 'նրանք/նրանց']",նրանք/նրանց
