concept,source language text,target language text,variations,label
then,Then he bribed his way into some big government contract to redevelop the area.,பிறகு அவர் சில பெரிய அரசு ஒப்பந்த அவரது வழியில் லஞ்சம் பகுதியில் redevelop வேண்டும்.,"['பின்/பின்னர்', 'பிறகு']",பிறகு
then,Then the Tet sent troop ships down.,பிறகு Tet கீழே படை கப்பல்கள் அனுப்பினார்.,"['பின்/பின்னர்', 'பிறகு']",பிறகு
then,"If the signal's coming from here, then...","அந்த சமிஞ்சைகள் இங்கிருந்து தான் வந்தது என்றால் , பிறகு...","['பின்/பின்னர்', 'பிறகு']",பிறகு
then,I done cleaned more toilets than you can think of and then you would talk to your mother like this?,பின்னர் நீங்கள் இந்த அம்மா பேச வேண்டும் நான் நீங்கள் யோசிக்க முடியும் விட சுத்தம் மேலும் கழிப்பறைகள் செய்ய?,"['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,"Mound up those four plates with vegetables and then open up the very best bottle of Burgundy you have, light the candles and celebrate it.","காய்கறிகளை அதன் மேல் மலைபோல் குவிக்க. பிறகு, சிறந்த ""Burgundy"" குடுவையைத் திறக்க, விளக்கேற்றி இதனைக் கொண்டாடுக.","['பின்/பின்னர்', 'பிறகு']",பிறகு
then,"Now, unless there's any new evidence, then the case is closed.","இப்போது, புதிய ஆதாரங்கள் இருந்தால் பின்னர் வழக்கு மூடப்பட்டது.","['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,- And then those guys came.,- பிறகு அந்த பாடல் வந்தது.,"['பின்/பின்னர்', 'பிறகு']",பிறகு
then,They simply listen and then begin to speak.,அவர்கள் சாதாரணமாகக் கவனித்து அதன் பின் பேச ஆரம்பிக்கிறார்கள்.,"['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,"""First they ignore you, then they laugh at you, then they fight you, and then you win.""","""முதலில் அவர்கள் உங்களை பொருட்படுத்தமாட்டார்கள், பிறகு உங்களை கேலி செய்வார்கள், பிறகு உங்களிடம் சண்டையிடுவார்கள், அதன், பிறகு நீங்கள் வெல்வீர்கள்.""","['பின்/பின்னர்', 'பிறகு']",பிறகு
then,And then one evening after you've accused her of looking at another man...,பிறகு ஒரு மாலை... ... நீங்கள் மற்றொரு மனிதன் பார்த்து அவரது குற்றஞ்சாட்டினார் பிறகு...,"['பின்/பின்னர்', 'பிறகு']",பிறகு
then,And then sudden jolts of reality runs through your mind.,பின்னர் உண்மையில் திடீர் jolts உங்கள் மனதில் வழியாக இயங்கும்.,"['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,Then why is it that they seem to have something different?,பிறகு எவ்வாறு அவர்களால் முடிகிறது அவர்கள் தனித்திறன் கொண்டிருப்பதாக தோன்றுகிறதா?,"['பின்/பின்னர்', 'பிறகு']",பிறகு
then,"How 'bout your mama, then?","எப்படி 'உங்கள் அம்மா போட், பின்னர்?","['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,Then you can have him.,பின் நீங்கள் அவரை வைத்திருக்க முடியும்.,"['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,"Then when the Joes came recruiting to the hood,","ஜோஸ் பேட்டை முதல் பணிக்கு வந்த பின் போது,","['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,"First they have cleaned the society, then it will be Hyderabad, and soon India.","முதலில் அவர்கள் சமூகத்தை சுத்தம் செய்தார்கள், பின்னர் ஹைதராபாத்தை, விரைவில் இந்தியாவையே.","['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,Then there is nothing wrong with your remote.,பிறகு உங்கள் தொலை எதுவும் தவறாக இல்லை.,"['பின்/பின்னர்', 'பிறகு']",பிறகு
then,Then O'Neil here's gonna punch in the nuts. Come on.,பிறகு ஓ 'நீல் இங்கே கொட்டைகள் உள்ள பஞ்ச் போகிறார்.,"['பின்/பின்னர்', 'பிறகு']",பிறகு
then,"So I handed her a tissue, and I gave her a hug, and then, because I really cared for this woman, I said, ""Get down off your cross.""","அவளுக்கு டிஷ்யூ காகிதம் கொடுத்தேன் ஒரு அணைப்பும் கொடுத்தேன் , ஏனெனில் உண்மையில் அவளை எனக்குப் பிடிக்கும் பிறகு சொன்னேன் ""உன் குரிஸிலிருந்து கீழே இறங்கு""","['பின்/பின்னர்', 'பிறகு']",பிறகு
then,"And this guy that I don't even know checks us out of the jail... and then says all this weird stuff... and brings us here with these people... like, touching us and talking to us... and I don't know them, and I don't feel comfortable.",நான் கூட தெரியாது என்று இந்த பையன் சிறையில் எங்களை வெளியே சரிபார்க்கிறது... பின்னர் இந்த வித்தியாசமான பொருட்களை கூறுகிறார்... இந்தமக்கள்நம்மைஇங்கேகொண்டு...,"['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,And then they all started coming back.,பின்னர் அவர்கள் அனைவரும் மீண்டும் வரும் தொடங்கியது.,"['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,"When you're typing on your Blackberry, Android, iPhone, don't bother switching layouts to the punctuation layout to hit the period and then a space, then try to capitalize the next letter.","உங்கள் பிளாக்பெர்ரி, ஆண்ட்ராய்டு, ஐபோனில் தட்டச்சு செய்யும் போது நிறுத்தக்குறிகள் அமைப்பை மாறுவதற்கு கவலைப்பட தேவையில்லை காற்புள்ளி (Period) அடித்து விட்டு, பின்னர் ஒரு இடத்தை விட்டு பிறகு அடுத்த எழுத்து அடிக்கவும்.","['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,"The only trick is that you've got to identify the best, worthiest thing that you love most, and then build your house right on top of it and don't budge from it.",அதன் சூட்சமம் நீங்கள் உங்களுக்குப் பிடித்த ஒன்றை இனங்காணவேண்டும் பயானான உங்களுக்கு அதிகம் பிடித்த ஒன்று அதன் பின் அதன் மேல் உங்களில் வீட்டினை எழுப்ப தொடங்குங்கள் அதில் இருந்து பின்வாங்காதீர்கள்,"['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,Then how come we've never heard of Samuel Pierpont Langley?,பின்னர் ஏன் நாம் ஒருவரும் சாமுவேல் பியற்பன்ட் லாங்க்லியின் பற்றி கேள்விப்படவில்லை?,"['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,"How about it just being over, then?","எப்படி அதை பற்றி தான் பின்னர், மேல் இருப்பது?","['பின்/பின்னர்', 'பிறகு']",பின்/பின்னர்
then,"So if we all take only what we need, then we can begin to share the rest, we can begin to celebrate, we can begin to restore.","எனவே, நாம் நமக்கு தேவையானதை மட்டும் எடுப்போம் பிறகு மீதத்தை பங்கிடுவோம். நாம் கொண்டாடத் துவங்கலாம், நாம் சீரமைக்த் தொடங்கலாம்,","['பின்/பின்னர்', 'பிறகு']",பிறகு
then,"And what this teacher did on every project was to have the children act like first it was a creative arts project, and then something like science.",ஒவ்வொரு திட்டத்திலு இந்த ஆசிரியர் என்ன பண்ணுகிறார் என்றால் அந்த குழந்தைகளை இது ஒரு கிரியேட்டிவ் கலை சம்பந்தப்பட்டத் திட்டம் போல அவர்களை செயல்பட வைக்கிறார் அதற்கு பிறகு அறிவியல் போல,"['பின்/பின்னர்', 'பிறகு']",பிறகு
