concept,source language text,target language text,variations,label
our,"By the time I left, we had gone up to almost 30 billion dollars. And as we speak now, we have about 40 billion dollars in reserves due to proper management of our finances.","நான் விலகும் நேரத்தில், நாங்கள் கிட்டத்தட்ட $30 பில்லியனுக்குப் போயிருந்தோம். நாம் இப்போது பேசுகிறபோது, எங்கள் நிதியின் முறையான நிர்வாகத்தின் காரணமாக நாங்கள் சேமிப்பில் $40 பில்லியன்களைக் கொண்டுள்ளோம்.","['எங்கள்', 'நம்/நமது']",எங்கள்
our,"When we started doing our research at BCG, we decided not to look so much at the costs, but to look at the quality instead, and in the research, one of the things that fascinated us was the variation we saw.","BCG யில் ஆராய்ச்சியை நாங்கள் தொடங்கியபொழுது, செலவுகளை குறித்து அதிகம் கவலைப்பட வேண்டாம் என்று முடிவெடுத்தோம், ஆனால் தரத்திற்கு முக்கியத்துவம் கொடுத்தோம்m எங்களது ஆராய்ச்சியில் ஒரு விஷயம் எங்களை ஆச்சரியபடுத்தியது என்னவென்றால் நாங்கள் பார்த்த பேதங்கள் தான்","['எங்கள்', 'நம்/நமது']",எங்கள்
our,"How's our little bird doing, Billy?","எப்படி எங்கள் சிறிய பறவை செய்கிறாள், பில்லி?","['எங்கள்', 'நம்/நமது']",எங்கள்
our,Not responding to our hails.,எங்கள் பதிலளிக்கவில்லை சந்திக்கிறது .,"['எங்கள்', 'நம்/நமது']",எங்கள்
our,"Once Walsh's tasteless decor had been replaced for something more befitting of a classy operation like ours,",வால்ஸ் உடைய அசிங்கமான அலங் காரம்... எல்லாம் மாத்துன அப்புறம் எங்களின்...,"['எங்கள்', 'நம்/நமது']",எங்கள்
our,"Now, the simplest form of application is using our finger, but our finger has some limitations, so we've devised an applicator.","இதை சாதரணமாக நம் விரல் மூலம் உபயோகிக்கலாம், ஆனால் நம் விரலுக்கு சில வரையறை உள்ளது. அதற்காக நாம் இங்கு ஒரு கருவியை உபயோகிக்கிறோம்.","['எங்கள்', 'நம்/நமது']",நம்/நமது
our,"And every day, everywhere, our children spread their dreams beneath our feet.","ஒவ்வொரு நாளும், எல்லா இடத்திலும் நம் பிள்ளைகள் அவர்கள் கனவை நம் காலடியில் விரிக்கிறார்கள்.","['எங்கள்', 'நம்/நமது']",நம்/நமது
how,"You can't fix that problem without addressing shame, because when they teach those folks how to suture, they also teach them how to stitch their self-worth to being all-powerful.","ஏனெனில், அவர்கள் அந்த மருத்துவர்களுக்கு எப்படி தையல் போடுவது என்று கற்று கொடுக்கிறபோது சுயமதிப்பையும் எப்படி சேர்த்து தைப்பது என்பதையும் கற்றுத் தருகிறார்கள். எல்லா பலத்துடனும் இருப்பதற்காக.","['எப்படி', 'எத்தனை', 'எவ்வாறு', 'எவ்வளவு']",எப்படி
how,How are you going to find meaning in your crappy experience?,எப்படி அர்த்தம் கண்டு பிடிப்பீர்கள் உங்கள் துயர அனுபவங்களுக்கு ?,"['எப்படி', 'எத்தனை', 'எவ்வாறு', 'எவ்வளவு']",எப்படி
how,How could you be so good at combat?,எப்படி போர் மிகவும் நல்ல இருக்க முடியும்?,"['எப்படி', 'எத்தனை', 'எவ்வாறு', 'எவ்வளவு']",எப்படி
